technique_id,family,technique,roster,priority,target_stage,availability,source_ids,required_variables,missing_variables,claimed_benefit,local_formulation,matched_control,falsification,deployment_impact,deployment_note
W52R-T11,objective_optimization,Gradient-statistics loss annealing,active_real_data,high,2,train_derived,SRC-07,measured_te_train|residual_metrics_train,,Prevent one objective from dominating shared-parameter updates because of scale or stiffness.,Track per-loss gradient norms and adapt physics-guidance weights relative to the primary data objective with bounded updates.,Manually normalized fixed weights on the same candidate.,Reject if it does not reduce gradient imbalance or improve repeatability without suppressing the data objective.,none,Training-only optimizer instrumentation.
W52R-T12,objective_optimization,ReLoBRaLo relative-progress balancing,active_real_data,high,2,train_derived,SRC-08,measured_te_train|residual_metrics_train,,Balance competing objectives by their relative training progress with modest overhead.,Adapt bounded loss weights from relative loss ratios over deterministic and random lookback windows while preserving a minimum data-loss weight.,Fixed normalized weights and gradient-statistics annealing on the same candidate.,"Reject if weights become non-finite, collapse the data objective, or fail to improve three-seed stability and curve-first metrics.",none,Training-only loss adapter.
W52R-T13,objective_optimization,PCGrad main-loss-preserving projection,conditional_real_data,medium,12,train_derived,SRC-09,measured_te_train|residual_metrics_train,,Remove measured destructive interference between data and guidance gradients.,Project only a secondary guidance gradient when its cosine with the primary data gradient is negative; never project the primary gradient.,Same model and weights without projection.,Do not activate unless Stage 2 records persistent negative cosine; reject if projection improves guidance but worsens the primary held-out metrics.,none,Training-only gradient surgery with extra backward-pass cost.
W52R-T14,objective_optimization,Conflict-Averse Gradient Descent,conditional_real_data,low,12,train_derived,SRC-10,measured_te_train|residual_metrics_train,,Balance average progress and worst local objective improvement when several heads conflict.,Test only after persistent multi-objective conflict is measured and PCGrad has a bounded comparator.,"Same candidate with normalized fixed weights, ReLoBRaLo, and main-loss-preserving PCGrad.",Reject if compute overhead is not offset by better repeatability or the average held-out objective regresses.,none,Training-only but computationally heavier than scalarized optimization.
W52R-T15,constraint_optimization,Augmented-Lagrangian constraint enforcement,conditional_real_data,low,12,train_derived,SRC-06,measured_te_train|residual_metrics_train,,Enforce a validated inequality or equality more reliably than a fixed penalty.,Introduce multipliers only for a prior that first shows incremental signal with a simple bounded soft penalty.,The same candidate with fixed and adaptive soft penalties.,"Reject if feasibility improves without held-out curve-first gain, or if multipliers become unstable.",none,Training-only constraint optimizer.
W52R-T16,curriculum_transfer,Staged guidance curriculum,active_real_data,high,2,train_derived,SRC-18,measured_te_train|residual_metrics_train,,Avoid an ill-conditioned loss landscape by learning data fit and simple structure before activating harder guidance.,"Train data-only, activate analytical residual, then spectral or derivative terms using fixed schedule and freeze-unfreeze ablations.",Same total budget with all losses active from epoch zero.,Reject if final held-out performance and seed stability do not improve after controlling for total optimizer steps.,none,Training schedule only.
W52R-T17,adaptive_sampling,Failure-informed operating-cell and angle enrichment,conditional_real_data,medium,12,train_derived,SRC-19|SRC-26,theta|speed_setpoint|torque_setpoint|temperature_setpoint|residual_metrics_train,,Focus training on angular regions or operating cells with persistent residual failure.,Reweight or resample training-only cells from cross-fitted failure scores while retaining uniform-coverage batches.,Uniform sampling and static stratification with identical update count.,"Reject if localized failures are not stable across folds, global coverage degrades, or matched-budget held-out metrics do not improve.",none,Training sampler only.
W52R-T18,adaptive_sampling,Self-adaptive pointwise weights,conditional_real_data,low,12,train_derived,SRC-20,theta|measured_te_train|residual_metrics_train,,Concentrate optimization on stubborn angular locations without manually defining them.,Learn bounded training-point weights with entropy and effective-sample-size diagnostics.,Uniform point weights and failure-informed resampling.,"Reject if weights collapse onto a small sample set, correlate with noise rather than cross-fitted error, or fail to improve held-out curves.",none,Training-only attention mask with memory overhead.
W52R-T19,uncertainty,Ensemble discrepancy and anchor-trust calibration,conditional_real_data,medium,11,train_derived,SRC-03|SRC-17,speed_setpoint|torque_setpoint|temperature_setpoint|measured_te_train|pf_a_prediction_train,,Identify operating cells where the analytical anchor or learned residual is unreliable.,Combine a three-to-five-member deep ensemble with condition-distance and PF-A discrepancy features; calibrate uncertainty on validation data only.,Single deterministic model and uncalibrated ensemble variance.,"Reject if uncertainty-error rank correlation and high-error capture fail, or intervals widen without localizing error.",high,Full ensembles multiply memory and inference cost; distilled trust heads require separate validation.
W52R-T20,sparse_discovery,SINDy-style sparse harmonic-condition library,conditional_real_data,medium,10,train_derived,SRC-15|SRC-24,speed_setpoint|torque_setpoint|temperature_setpoint|harmonic_coefficients_train,,Identify a parsimonious set of operating-condition and harmonic interactions missing from PF-A.,Fit a predeclared polynomial-harmonic interaction dictionary on training conditions with bootstrap stability selection.,"Complete quadratic PF-A, ridge regression on the same library, and label-shuffled stability control.",Reject unstable signs or magnitudes and any term lacking held-out gain over the simpler complete-quadratic law.,low,A retained sparse formula is highly inspectable and PLC-friendly.
W52R-T21,symbolic_discovery,Constrained symbolic residual search,conditional_real_data,low,10,train_derived,SRC-16,speed_setpoint|torque_setpoint|temperature_setpoint|harmonic_coefficients_train,,Search beyond a fixed polynomial dictionary for compact separable or symmetric coefficient laws.,Run complexity-bounded symbolic regression on training-only coefficient residuals with unit-safe operators and nested validation.,SINDy-style predeclared library and parameter-count-matched MLP coefficient residual.,"Reject expressions that are unstable across bootstrap splits, exceed complexity limits, or lack held-out gain.",low,Accepted compact expressions are suitable for explicit PLC evaluation.
W52R-T22,temporal_grey_box,Temporal PF-A plus bounded GRU residual,active_real_data,high,9,train_derived,SRC-03|SRC-04|SRC-18,theta|speed_setpoint|torque_setpoint|temperature_setpoint|pf_a_prediction_train|measured_te_train,,Combine the analytical anchor with the strongest accepted temporal inductive bias.,Feed the PF-A curve and causal operating inputs into a deterministic-state GRU that predicts a bounded residual sequence.,"Accepted GRU, PF-A alone, and parameter-matched GRU without the anchor.",Reject unless it beats the accepted GRU across the multi-index gate and remains stable under deterministic hidden-state reset.,high,"Adds recurrent state, reset semantics, PF-A evaluation, and parity requirements."
W52R-T23,hard_constraints,Exact periodic output construction,active_real_data,high,4,train_derived,SRC-25|SRC-12,theta|speed_setpoint|torque_setpoint|temperature_setpoint|measured_te_train,,Enforce angular periodicity by construction instead of spending optimization capacity on a closure penalty.,"Use only periodic angular features and exact mean-centering so y_hat(theta+2*pi,z) equals y_hat(theta,z) structurally.",Same parameter budget with raw angle and a soft periodic-closure loss.,Reject if exact closure does not improve held-out shape or restricts fit relative to the soft control.,low,Fixed trigonometric features and centering are explicit and deterministic.
W52R-T24,certification,Post-training residual bound certification,conditional_real_data,low,13,available,SRC-21,theta|speed_setpoint|torque_setpoint|temperature_setpoint,,Replace sampled-only residual claims with bounds over a continuous normalized input domain.,Attempt bound propagation only for a tournament-qualified feedforward candidate and a locally meaningful residual.,Dense-grid adversarial residual search on the same normalized domain.,"Reject operational use if bounds are vacuous, unsupported by the architecture, or unrelated to empirical TE error.",none,"Certification is offline, but it may constrain the supported architecture."
W52R-T25,neural_operator,Physics-informed neural operator,excluded,excluded,13,unavailable,SRC-22,function_valued_excitation|governing_pde|boundary_conditions,function_valued_excitation|governing_pde|boundary_conditions,Learn a solution operator over function-valued inputs and multiple resolutions.,None for the current point-condition setpoint contract; reconsider only after a function-valued excitation and governing operator are available.,Not applicable in the active contract.,Exclude while the local task remains finite-dimensional condition-to-curve regression.,high,Operator architectures are unnecessary and deployment-heavy for the current input contract.
W52R-T26,dynamic_equation_hybrid,Universal differential-equation residual,excluded,excluded,13,unavailable,SRC-24|SRC-04,causal_acceleration|inertia|damping_state|initial_state,causal_acceleration|inertia|damping_state|initial_state,Embed a learned missing term in a partially known dynamical equation.,No real-data formulation under steady forward setpoint curves; retain as a future dynamic-instrumentation design.,Not applicable until the state and differential equation are observable.,Exclude from real-data training until repeated trajectories and deterministic initial-state semantics exist.,high,Would require an online state integrator and validated dynamic parameters.
W52R-T27,synthetic_transfer,Misspecified-anchor synthetic-to-real curriculum,oracle_only,medium,13,synthetic_only,SRC-03|SRC-18|SRC-24,synthetic_ground_truth|synthetic_anchor_corruption,synthetic_ground_truth|synthetic_anchor_corruption,Verify that candidate architectures can recover known omissions before interpreting real-data residuals.,"Generate controlled PF-A coefficient omissions, phase shifts, nonlinear compliance, and noise; pretrain only after a from-scratch real-data control is defined.",Identical real-data training from scratch and synthetic pretraining with shuffled or irrelevant corruptions.,Reject transfer if it does not improve sample efficiency or held-out real-data metrics over the from-scratch control.,none,Synthetic generation and pretraining are offline.
W52R-T28,mmt_oracle,Paper-faithful MMT synthetic oracle,oracle_only,low,13,synthetic_only,SRC-30|SRC-29,component_error_groups|unit_geometry|contact_state,component_error_groups|unit_geometry|contact_state,Test whether a candidate can recover structured component-error signatures under known geometry.,Use the Matlab MMT mapping to generate synthetic diagnostic curves only; do not calibrate equivalent-error groups from held-out TE.,Harmonic injection with matched spectrum but shuffled MMT structure.,Do not advance to real data unless independent component-error observations become available.,high,Paper-faithful geometry and contact mapping is unsuitable for the current runtime contract.
W52R-T29,contact_mechanics,"Contact, load-sharing, friction, and energy residuals",oracle_only,excluded,13,unavailable,SRC-29,contact_force|mesh_stiffness|load_sharing|friction_state|unit_geometry,contact_force|mesh_stiffness|load_sharing|friction_state|unit_geometry,"Encode genuine reducer mechanics when forces, geometry, stiffness, and loss channels are observed.",Synthetic-oracle studies only; no real-data loss may substitute target TE for the missing internal states.,Mechanism-preserving and shuffled synthetic oracles.,Exclude from real-data training until independent instrumentation identifies the required quantities.,high,A full implementation would require unavailable online mechanical states.
W52R-T30,hysteresis_backlash,Hysteresis and backlash memory residual,excluded,excluded,13,unavailable,SRC-28|SRC-27,direction_state|repeated_reversals|loop_history|deterministic_reset,direction_state|repeated_reversals|loop_history|deterministic_reset,Represent reversal-dependent lost motion and loop memory.,None for forward-only setpoint curves; retain only offline or synthetic reversal studies.,Not applicable to the active forward-only contract.,Exclude until repeated major and minor loops with causal reset semantics are recorded.,high,Requires explicit persistent state and deterministic PLC reset behavior.
